metric,value
reps.L_elbow,7
reps.R_elbow,1
reps.L_shoulder,0
reps.R_shoulder,0
ROM.L_elbow,"(26.00446235589501, 179.06119727273486)"
ROM.R_elbow,"(19.104754324048205, 159.69118946248247)"
ROM.L_shoulder,"(None, None)"
ROM.R_shoulder,"(18.809779224125055, 19.03747307032669)"
jerk.Left,15.60702983084398
jerk.Right,34.2474607195905
sparc.Left,-23.32218207196615
sparc.Right,-20.027822641981437
class_counts.L_elbow.flexion,151
class_counts.L_elbow.extension,87
class_counts.R_elbow.flexion,221
class_counts.R_elbow.extension,17
class_counts.L_shoulder.abduction,0
class_counts.L_shoulder.adduction,1
class_counts.R_shoulder.abduction,0
class_counts.R_shoulder.adduction,7
history.time,"[1762715161.7404, 1762715164.875578, 1762715165.139401, 1762715165.3932478, 1762715165.6414447, 1762715166.0622685, 1762715166.271455, 1762715166.557474, 1762715166.747612, 1762715166.9456067, 1762715167.1433406, 1762715167.3287227, 1762715167.4855313, 1762715167.637353, 1762715167.8166409, 1762715167.9854448, 1762715168.1449647, 1762715168.3294752, 1762715168.4885106, 1762715168.6096094, 1762715168.725266, 1762715168.831672, 1762715168.951215, 1762715169.0648718, 1762715169.1915927, 1762715169.2945225, 1762715169.4064424, 1762715169.5123475, 1762715169.6192787, 1762715169.735557, 1762715169.8501074, 1762715169.956644, 1762715170.067002, 1762715170.200946, 1762715170.3317106, 1762715170.4574373, 1762715170.5875788, 1762715170.71199, 1762715170.8415504, 1762715170.9709218, 1762715171.109795, 1762715171.2310188, 1762715171.3639374, 1762715171.4837449, 1762715171.6070638, 1762715171.7246695, 1762715171.8451746, 1762715171.9535704, 1762715172.0603282, 1762715172.1831903, 1762715172.302073, 1762715172.4164796, 1762715172.5390584, 1762715172.6536372, 1762715172.7656662, 1762715172.8788183, 1762715172.991141, 1762715173.1044374, 1762715173.2146358, 1762715173.320577, 1762715173.4273832, 1762715173.5417836, 1762715173.6708107, 1762715173.798869, 1762715173.9144428, 1762715174.0287125, 1762715174.144143, 1762715174.2570212, 1762715174.3764079, 1762715174.5029702, 1762715174.6229427, 1762715174.7335892, 1762715174.8445783, 1762715174.961517, 1762715175.081184, 1762715175.2088118, 1762715175.3292227, 1762715175.4503052, 1762715175.5590901, 1762715175.6685967, 1762715175.7794266, 1762715175.890223, 1762715176.00054, 1762715176.1131566, 1762715176.232206, 1762715176.343152, 1762715176.4605668, 1762715176.5828824, 1762715176.6953104, 1762715176.8132296, 1762715176.9294684, 1762715177.0247197, 1762715177.1230278, 1762715177.230636, 1762715177.336051, 1762715177.4363844, 1762715177.538102, 1762715177.6382205, 1762715177.7372668, 1762715177.843175, 1762715177.9506402, 1762715178.0558298, 1762715178.1647494, 1762715178.2729568, 1762715178.3907743, 1762715178.5104024, 1762715178.6304176, 1762715178.743967, 1762715178.8641253, 1762715178.9810724, 1762715179.0968373, 1762715179.2139094, 1762715179.337347, 1762715179.4568095, 1762715179.5718586, 1762715179.6852353, 1762715179.7951698, 1762715179.914265, 1762715180.0279818, 1762715180.1465538, 1762715180.2595844, 1762715180.3686185, 1762715180.4927645, 1762715180.6037037, 1762715180.7169256, 1762715180.8333833, 1762715180.9529839, 1762715181.0630174, 1762715181.1890938, 1762715181.311711, 1762715181.4249127, 1762715181.5326793, 1762715181.6448977, 1762715181.75403, 1762715181.871076, 1762715181.990007, 1762715182.1113272, 1762715182.2294242, 1762715182.3402567, 1762715182.4481132, 1762715182.565821, 1762715182.679696, 1762715182.7888527, 1762715182.8975606, 1762715183.0068212, 1762715183.1134331, 1762715183.2116807, 1762715183.316254, 1762715183.4292178, 1762715183.5348747, 1762715183.6362188, 1762715183.7367167, 1762715183.8470354, 1762715183.9517207, 1762715184.0579648, 1762715184.1669884, 1762715184.2829332, 1762715184.3956246, 1762715184.511965, 1762715184.6316013, 1762715184.7709472, 1762715184.9081006, 1762715185.0380542, 1762715185.175834, 1762715185.3013356, 1762715185.4243755, 1762715185.6443386, 1762715185.919285, 1762715186.188968, 1762715186.77832, 1762715187.34647, 1762715187.8778505, 1762715188.2805524, 1762715188.6465704, 1762715189.0340686, 1762715189.388127, 1762715189.703949, 1762715190.0055988, 1762715190.3370795, 1762715190.5961618, 1762715190.9011815, 1762715191.1686323, 1762715191.3869128, 1762715191.6712217, 1762715192.012512, 1762715192.3876147, 1762715192.7562034, 1762715193.1499207, 1762715193.4776928, 1762715193.825856, 1762715194.2552161, 1762715194.8336477, 1762715195.1548195, 1762715195.5856588, 1762715195.882576, 1762715196.2181408, 1762715196.5258112, 1762715196.955425, 1762715197.344617, 1762715197.7038128, 1762715198.1571357, 1762715198.5412238, 1762715198.8475475, 1762715199.2797637, 1762715199.6498392, 1762715199.9348454, 1762715200.2102554, 1762715200.543359, 1762715200.8966804, 1762715201.3554578, 1762715202.0549347, 1762715202.6129234, 1762715202.9933662, 1762715203.3368149, 1762715203.7946286, 1762715204.1256385, 1762715204.5337234, 1762715204.9194221, 1762715205.3401048, 1762715205.7256112, 1762715206.1407375, 1762715206.5317256, 1762715206.903602, 1762715207.2772255, 1762715207.651035, 1762715208.0415692, 1762715208.3702996, 1762715208.688054, 1762715209.0006945, 1762715209.3309207, 1762715209.7294674, 1762715210.0139866, 1762715210.303787, 1762715210.6594257, 1762715211.057714, 1762715211.4604893, 1762715211.783049, 1762715212.1620433, 1762715212.5166283, 1762715212.8657374, 1762715213.2700462, 1762715213.6608934, 1762715214.0938492, 1762715214.4494474, 1762715214.8858047, 1762715215.2702312, 1762715215.6328459, 1762715215.931623, 1762715216.3167815, 1762715216.6931832, 1762715217.0392222, 1762715217.5087407, 1762715217.8222623, 1762715218.1663523, 1762715218.513073, 1762715218.8556998, 1762715219.1487453, 1762715219.582831, 1762715220.0055985, 1762715220.4712405, 1762715220.8545074, 1762715221.1001008, 1762715221.3209927, 1762715221.6538734, 1762715221.9969804, 1762715222.3359003, 1762715222.7573981, 1762715223.2118528, 1762715223.5624454, 1762715223.9259813, 1762715224.2489414, 1762715224.5810547, 1762715225.267649, 1762715225.5741708, 1762715225.9111214, 1762715226.052623, 1762715226.1629465, 1762715226.2884352, 1762715226.3926554, 1762715226.4915817, 1762715226.6238594, 1762715226.7400918, 1762715226.851396, 1762715226.9563937, 1762715227.0847094, 1762715227.2092729, 1762715227.3322294, 1762715227.4527094, 1762715227.5820575, 1762715227.6973593, 1762715227.8138099, 1762715227.9221113, 1762715228.0358822, 1762715228.1631382, 1762715228.2945356, 1762715228.450125, 1762715228.7127872, 1762715228.915891, 1762715229.2172916, 1762715229.4706166, 1762715229.7125552, 1762715230.0704195, 1762715230.3897507, 1762715230.6519394, 1762715230.8527975, 1762715231.2532978, 1762715231.6706624, 1762715231.902945, 1762715232.0853422, 1762715232.2821698, 1762715232.4775598, 1762715232.7105527, 1762715232.9125497, 1762715233.0785358, 1762715233.2574177, 1762715233.432666, 1762715233.6016462, 1762715233.7393062, 1762715233.9089549, 1762715234.0501337, 1762715234.1894634, 1762715234.3298855, 1762715234.5223308, 1762715234.7713182, 1762715234.912705, 1762715235.0725253, 1762715235.2249506, 1762715235.3739293, 1762715235.5153763, 1762715235.6471925, 1762715235.79215, 1762715235.9340444, 1762715236.0734837, 1762715236.2315955, 1762715236.4128573, 1762715236.5954087, 1762715236.7371595, 1762715236.865017, 1762715236.994675, 1762715237.1693003, 1762715237.3945367, 1762715237.5741534, 1762715237.9004276, 1762715238.374753, 1762715238.7530074, 1762715239.0190496, 1762715239.353426, 1762715239.7653887, 1762715240.0011244, 1762715240.2064168, 1762715240.4630032, 1762715240.64245, 1762715240.810698, 1762715240.9650106, 1762715241.108793, 1762715241.2550566, 1762715241.3882394, 1762715241.5352876, 1762715241.6800451, 1762715241.9014573, 1762715242.0499165, 1762715242.2053125, 1762715242.3403401, 1762715242.4700673, 1762715242.6047087, 1762715242.7390277, 1762715242.866079, 1762715243.0018086, 1762715243.1355884, 1762715243.337968, 1762715243.5270288, 1762715243.689458, 1762715243.8480222, 1762715244.0005386, 1762715244.1374028, 1762715244.2690377, 1762715244.4022605, 1762715244.5396721, 1762715244.7333865, 1762715244.879797, 1762715245.0661533, 1762715245.2231567, 1762715245.3645205, 1762715245.5167909, 1762715245.6536632, 1762715245.8251176, 1762715245.9652338, 1762715246.1166694, 1762715246.2831347, 1762715246.4810386, 1762715246.6692014, 1762715246.8871222, 1762715247.055258, 1762715247.2367854, 1762715247.4558215, 1762715247.6239414, 1762715247.7740514, 1762715247.940085, 1762715248.1037376, 1762715248.2751176, 1762715248.4431772, 1762715248.6422, 1762715248.8269389, 1762715249.0347264, 1762715249.2470834, 1762715249.4528937, 1762715249.6900089, 1762715249.9191692, 1762715250.164536, 1762715250.4179792, 1762715250.6002564, 1762715250.8947532, 1762715251.3050683, 1762715251.585895, 1762715251.896506, 1762715252.68996, 1762715253.0048664, 1762715253.3050234, 1762715253.55698, 1762715254.0814545, 1762715254.2985876]"
